person_id,family_name,first_name,language,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,narrative_age,neibu_access,wikidata_id,source_1,page_1,source_2,page_2,narrative_status,commentary,note,created,created_by,last_modified,last_modified_by
AG0626,anonymous,,en,unknown,1,XXXX,XXXX,,SP0436,,,,,W0414,,,,,,,2017-11-07,DP,2020-04-02,DP
AG0626,无名,,zh,unknown,1,XXXX,XXXX,,SP0436,,,,,W0414,,,,,,,2017-11-07,DP,2020-04-02,DP
