sec_source_id,title,subtitle,language,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,note,created,created_by,last_modified,last_modified_by
W0419,Endless Holidays,,en,G44,SP0005,2009,Sanlian shudian,,,W0431,,563-585,,2017-07-12,OS,2021-08-12,DP
W0419,漫长的假期,,zh,G44,SP0004,2009,Sanlian shudian,,,W0431,,563-585,,2017-07-12,OS,2020-04-08,DP
